Personalities,Agreeableness High,Conscientiousness High,Extraversion High,Emotional range High,Openness High,Agreeableness Low,Conscientiousness Low,Extraversion Low,Emotional range Low,Openness Low
Agreeableness High,,cooperative,"communicative, enthusiastic",,"tactful, idealistic",,,,"flexible, patient",
Conscientiousness High,cooperative,,"purposeful, competitive",particular,"perfectionistic, analytical",,,punctual,"self-disciplined, logical, decisive, rational",
Extraversion High,,"purposeful, competitive",,wordy,"expressive, witty",bossy,,,confident,
Emotional range High,,particular,wordy,,excitable,,,,,
Openness High,"tactful, idealistic","perfectionistic, analytical","expressive, witty",excitable,,,,self-examining," creative, intellectual, insightful",
Agreeableness Low,,,bossy,,,,,,,
Conscientiousness Low,,,,,,,,,,
Extraversion Low,,punctual,,,self-examining,,,,tranquil,
Emotional range Low,"flexible, patient","self-disciplined, logical, decisive, rational",confident,," creative, intellectual, insightful",,,tranquil,,
Openness Low,,,,,,,,,,